推荐电影「百万美元宝贝」,推荐原因：第77届奥斯卡金像奖,豆瓣评分：8.7,电影类型：运动,上映年份：2004 
 推荐电影「艺术家」,推荐原因：第84届奥斯卡金像奖,豆瓣评分：8.4,电影类型：喜剧,上映年份：2011 
 推荐电影「鸟人」,推荐原因：第87届奥斯卡金像奖,豆瓣评分：7.9,电影类型：喜剧,上映年份：2014 
 推荐电影「莎翁情史」,推荐原因：第71届奥斯卡金像奖,豆瓣评分：7.3,电影类型：喜剧,上映年份：1998 
 推荐电影「月光男孩」,推荐原因：第89届奥斯卡金像奖,豆瓣评分：7.4,电影类型：同性,上映年份：2016 
 推荐电影「逃离德黑兰」,推荐原因：第85届奥斯卡金像奖,豆瓣评分：8.3,电影类型：惊悚,上映年份：2012 
 推荐电影「老无所依」,推荐原因：第80届奥斯卡金像奖,豆瓣评分：8.2,电影类型：惊悚,上映年份：2007 
 推荐电影「无间道风云」,推荐原因：第79届奥斯卡金像奖,豆瓣评分：7.3,电影类型：惊悚,上映年份：2006 
 推荐电影「芝加哥」,推荐原因：第75届奥斯卡金像奖,豆瓣评分：8.8,电影类型：歌舞,上映年份：2002 
 推荐电影「角斗士」,推荐原因：第73届奥斯卡金像奖,豆瓣评分：8.5,电影类型：动作,上映年份：2000 
 推荐电影「国王的演讲」,推荐原因：第83届奥斯卡金像奖,豆瓣评分：8.4,电影类型：传记,上映年份：2010 
 推荐电影「为奴十二年」,推荐原因：第86届奥斯卡金像奖,豆瓣评分：8.1,电影类型：传记,上映年份：2013 
 推荐电影「美国丽人」,推荐原因：第72届奥斯卡金像奖,豆瓣评分：8.5,电影类型：爱情,上映年份：1999 
 推荐电影「水形物语」,推荐原因：第90届奥斯卡金像奖,豆瓣评分：7.2,电影类型：爱情,上映年份：2017 