推荐电影：「逃出生天」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：6.7,电影类型：灾难,上映年份：2013
推荐电影：「洞」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：6.6,电影类型：悬疑,上映年份：2001
推荐电影：「枪王之王」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：6.6,电影类型：悬疑,上映年份：2010
推荐电影：「真爱至上」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：8.6,电影类型：喜剧,上映年份：2003
推荐电影：「迷失灵魂的素描像」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：6.6,电影类型：喜剧,上映年份：2005
推荐电影：「我爱贝克汉姆」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：6.5,电影类型：喜剧,上映年份：2002
推荐电影：「宝贝计划」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：7.4,电影类型：喜剧,上映年份：2006
推荐电影：「模仿游戏」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：8.7,电影类型：同性,上映年份：2014
推荐电影：「加勒比海盗」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：8.7,电影类型：奇幻,上映年份：2003
推荐电影：「加勒比海盗2：聚魂棺」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：8.3,电影类型：奇幻,上映年份：2006
推荐电影：「加勒比海盗3：世界的尽头」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：8.2,电影类型：奇幻,上映年份：2007
推荐电影：「加勒比海盗5：死无对证」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：7.2,电影类型：奇幻,上映年份：2017
推荐电影：「梦幻岛」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：6.0,电影类型：奇幻,上映年份：2011
推荐电影：「亚瑟王」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：6.8,电影类型：历史,上映年份：2004
推荐电影：「品行不端」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：6.7,电影类型：历史,上映年份：2020
推荐电影：「星球大战前传1：幽灵的威胁」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：8.2,电影类型：科幻,上映年份：1999
推荐电影：「灵幻夹克」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：7.3,电影类型：科幻,上映年份：2005
推荐电影：「纯洁」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：7.5,电影类型：剧情,上映年份：2002
推荐电影：「附属美丽」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：6.8,电影类型：剧情,上映年份：2016
推荐电影：「永远十六岁」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：6.4,电影类型：剧情,上映年份：2014
推荐电影：「可爱的你」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：7.9,电影类型：剧情,上映年份：2015
推荐电影：「忘不了」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：7.7,电影类型：剧情,上映年份：2003
推荐电影：「导火线」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：7.2,电影类型：剧情,上映年份：2007
推荐电影：「生日快乐」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：7.1,电影类型：剧情,上映年份：2007
推荐电影：「保持通话」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：6.7,电影类型：剧情,上映年份：2008
推荐电影：「官方机密」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：7.7,电影类型：惊悚,上映年份：2019
推荐电影：「危险方法」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：6.6,电影类型：惊悚,上映年份：2011
推荐电影：「黑社会」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：8.2,电影类型：惊悚,上映年份：2005
推荐电影：「黑社会2：以和为贵」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：8.0,电影类型：惊悚,上映年份：2006
推荐电影：「门徒」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：7.7,电影类型：惊悚,上映年份：2007
推荐电影：「意外」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：7.3,电影类型：惊悚,上映年份：2009
推荐电影：「神屁太空人」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：6.8,电影类型：家庭,上映年份：2002
推荐电影：「一个好爸爸」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：7.1,电影类型：家庭,上映年份：2008
推荐电影：「爱在阳光下」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：8.1,电影类型：歌舞,上映年份：2003
推荐电影：「多米诺」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：6.7,电影类型：动作,上映年份：2005
推荐电影：「窃听风云2」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：7.5,电影类型：动作,上映年份：2011
推荐电影：「窃听风云」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：7.5,电影类型：动作,上映年份：2009
推荐电影：「柔道龙虎榜」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：7.5,电影类型：动作,上映年份：2004
推荐电影：「杀破狼2」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：7.4,电影类型：动作,上映年份：2015
推荐电影：「扫毒」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：7.4,电影类型：动作,上映年份：2013
推荐电影：「毒战」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：7.4,电影类型：动作,上映年份：2012
推荐电影：「杀破狼·贪狼」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：7.1,电影类型：动作,上映年份：2017
推荐电影：「使徒行者」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：6.8,电影类型：动作,上映年份：2016
推荐电影：「柯莱特」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：7.5,电影类型：传记,上映年份：2018
推荐电影：「绝命海拔」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：7.5,电影类型：传记,上映年份：2015
推荐电影：「傲慢与偏见」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：8.6,电影类型：爱情,上映年份：2005
推荐电影：「再次出发之纽约遇见你」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：8.5,电影类型：爱情,上映年份：2013
推荐电影：「赎罪」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：8.4,电影类型：爱情,上映年份：2007
推荐电影：「日瓦戈医生」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：8.0,电影类型：爱情,上映年份：2002
推荐电影：「别让我走」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：7.7,电影类型：爱情,上映年份：2010
推荐电影：「安娜·卡列尼娜」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：7.2,电影类型：爱情,上映年份：2012
推荐电影：「一夜迷情」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：7.2,电影类型：爱情,上映年份：2010
推荐电影：「公爵夫人」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：6.9,电影类型：爱情,上映年份：2008
推荐电影：「爱的边缘」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：6.9,电影类型：爱情,上映年份：2008
推荐电影：「绢」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：6.9,电影类型：爱情,上映年份：2007
推荐电影：「余波」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：6.6,电影类型：爱情,上映年份：2019
推荐电影：「伦敦大道」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：6.5,电影类型：爱情,上映年份：2010
推荐电影：「末日情缘」,推荐原因：根据你喜欢的演员「凯拉」推荐,豆瓣评分：6.4,电影类型：爱情,上映年份：2012
推荐电影：「单身男女」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：6.8,电影类型：爱情,上映年份：2011
推荐电影：「河东狮吼」,推荐原因：根据你喜欢的演员「古校长」推荐,豆瓣评分：6.8,电影类型：爱情,上映年份：2002